Row,linedat1,linedat2,linedat3,linedat4,linedat5,linedat6,linedat7,linedat8,linedat9,linedat10,linedat11,linedat12,linedat13,linedat14,linedat15,linedat16,linedat17,linedat18,linedat19,linedat20,linedat21,linedat22,linedat23,linedat24,linedat25,linedat26,linedat27,linedat28,linedat29,linedat30,linedat31,linedat32,linedat33,linedat34,linedat35,linedat36,linedat37,linedat38,linedat39,linedat40,linedat41,linedat42,linedat43,linedat44,linedat45,linedat46,linedat47,linedat48,linedat49,linedat50,linedat51,linedat52,linedat53,linedat54,linedat55,linedat56,linedat57,linedat58,linedat59,linedat60,linedat61,linedat62,linedat63,linedat64,linedat65,linedat66,linedat67,linedat68,linedat69,linedat70,linedat71,linedat72,linedat73,linedat74,linedat75,linedat76,linedat77,linedat78,linedat79,linedat80,linedat81,linedat82,linedat83,linedat84,linedat85,linedat86,linedat87,linedat88,linedat89,linedat90,linedat91,linedat92,linedat93,linedat94,linedat95,linedat96,linedat97,linedat98,linedat99,linedat100
L7_FLI,2,1,0,1,1,1,0,1,4,1,1,5,3,2,3,5,9,7,4,3,5,4,1,1,4,3,1,0,0,1,2,5,5,9,11,11,21,25,11,5,4,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L7_GRN,0.0823529411764706,0.0627450980392157,0.0627450980392157,0.0549019607843137,0.0549019607843137,0.0666666666666667,0.0823529411764706,0.0666666666666667,0.0705882352941176,0.0823529411764706,0.0745098039215686,0.0784313725490196,0.105882352941176,0.0941176470588235,0.117647058823529,0.117647058823529,0.137254901960784,0.105882352941176,0.113725490196078,0.168627450980392,0.0588235294117647,0.0941176470588235,0.12156862745098,0.12156862745098,0.109803921568627,0.113725490196078,0.0705882352941176,0.0549019607843137,0.0941176470588235,0.0666666666666667,0.0588235294117647,0.164705882352941,0.0862745098039216,0.0549019607843137,0.0745098039215686,0.0745098039215686,0.0901960784313725,0.0666666666666667,0.133333333333333,0.164705882352941,0.12156862745098,0.164705882352941,0.168627450980392,0.0666666666666667,0.109803921568627,0.0705882352941176,0.0705882352941176,0.0980392156862745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L7_RED,0.145098039215686,0.117647058823529,0.125490196078431,0.12156862745098,0.12156862745098,0.125490196078431,0.12156862745098,0.184313725490196,0.145098039215686,0.133333333333333,0.12156862745098,0.168627450980392,0.180392156862745,0.168627450980392,0.215686274509804,0.176470588235294,0.109803921568627,0.211764705882353,0.223529411764706,0.192156862745098,0.133333333333333,0.341176470588235,0.231372549019608,0.231372549019608,0.188235294117647,0.12156862745098,0.137254901960784,0.141176470588235,0.0941176470588235,0.117647058823529,0.0980392156862745,0.0862745098039216,0.101960784313725,0.129411764705882,0.133333333333333,0.133333333333333,0.152941176470588,0.219607843137255,0.427450980392157,0.835294117647059,0.843137254901961,0.964705882352941,0.913725490196078,0.717647058823529,0.364705882352941,0.211764705882353,0.141176470588235,0.0980392156862745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L6_FLI,0,0,0,0,0,0,3,3,14,11,25,25,27,27,13,11,5,2,2,2,4,1,0,1,1,3,2,6,5,1,6,0,3,2,2,7,5,5,3,3,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L6_GRN,0.0980392156862745,0.0980392156862745,0.0862745098039216,0.0392156862745098,0.0901960784313725,0.113725490196078,0.168627450980392,0.141176470588235,0.105882352941176,0.0745098039215686,0.0823529411764706,0.0666666666666667,0.0627450980392157,0.0627450980392157,0.0627450980392157,0.0431372549019608,0.0901960784313725,0.0666666666666667,0.0666666666666667,0.0745098039215686,0.0705882352941176,0.0588235294117647,0.0588235294117647,0.0941176470588235,0.0941176470588235,0.0549019607843137,0.0627450980392157,0.117647058823529,0.101960784313725,0.0745098039215686,0.113725490196078,0.0980392156862745,0.0705882352941176,0.101960784313725,0.12156862745098,0.0862745098039216,0.0745098039215686,0.0745098039215686,0.141176470588235,0.0588235294117647,0.0862745098039216,0.0862745098039216,0.0627450980392157,0.0705882352941176,0.105882352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L6_RED,0.0980392156862745,0.0980392156862745,0.164705882352941,0.235294117647059,0.415686274509804,0.729411764705882,0.913725490196078,0.717647058823529,0.584313725490196,0.447058823529412,0.243137254901961,0.219607843137255,0.101960784313725,0.101960784313725,0.113725490196078,0.0980392156862745,0.117647058823529,0.16078431372549,0.16078431372549,0.133333333333333,0.109803921568627,0.164705882352941,0.137254901960784,0.184313725490196,0.137254901960784,0.227450980392157,0.333333333333333,0.223529411764706,0.184313725490196,0.215686274509804,0.211764705882353,0.305882352941176,0.145098039215686,0.2,0.184313725490196,0.149019607843137,0.247058823529412,0.156862745098039,0.145098039215686,0.156862745098039,0.109803921568627,0.109803921568627,0.113725490196078,0.133333333333333,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L5_FLI,0,1,1,1,2,1,4,3,5,6,17,26,23,11,14,20,16,14,12,1,4,1,1,1,1,1,2,3,7,4,3,5,5,1,5,3,1,3,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L5_GRN,0.0941176470588235,0.0627450980392157,0.0627450980392157,0.0784313725490196,0.109803921568627,0.0901960784313725,0.12156862745098,0.0705882352941176,0.0901960784313725,0.125490196078431,0.0666666666666667,0.117647058823529,0.109803921568627,0.101960784313725,0.12156862745098,0.141176470588235,0.184313725490196,0.133333333333333,0.117647058823529,0.141176470588235,0.137254901960784,0.0745098039215686,0.109803921568627,0.125490196078431,0.101960784313725,0.0784313725490196,0.0941176470588235,0.0745098039215686,0.105882352941176,0.0823529411764706,0.0705882352941176,0.12156862745098,0.0862745098039216,0.113725490196078,0.105882352941176,0.0745098039215686,0.0666666666666667,0.0745098039215686,0.0862745098039216,0.0941176470588235,0.105882352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L5_RED,0.184313725490196,0.172549019607843,0.0941176470588235,0.105882352941176,0.164705882352941,0.137254901960784,0.12156862745098,0.168627450980392,0.164705882352941,0.192156862745098,0.227450980392157,0.32156862745098,0.462745098039216,0.6,0.905882352941176,0.976470588235294,0.964705882352941,0.901960784313726,0.635294117647059,0.392156862745098,0.294117647058824,0.32156862745098,0.188235294117647,0.16078431372549,0.207843137254902,0.235294117647059,0.164705882352941,0.172549019607843,0.196078431372549,0.219607843137255,0.180392156862745,0.247058823529412,0.290196078431373,0.266666666666667,0.219607843137255,0.282352941176471,0.215686274509804,0.223529411764706,0.149019607843137,0.215686274509804,0.258823529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L4_FLI,0,2,2,1,0,2,1,1,2,8,16,10,24,17,25,14,14,11,12,10,6,8,6,7,6,8,2,2,3,3,7,5,6,2,5,1,5,11,4,7,5,8,7,6,4,9,4,5,3,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L4_GRN,0.0980392156862745,0.109803921568627,0.101960784313725,0.0666666666666667,0.0509803921568627,0.12156862745098,0.0745098039215686,0.0509803921568627,0.0627450980392157,0.113725490196078,0.0901960784313725,0.0980392156862745,0.149019607843137,0.129411764705882,0.184313725490196,0.207843137254902,0.16078431372549,0.235294117647059,0.219607843137255,0.23921568627451,0.133333333333333,0.0941176470588235,0.0862745098039216,0.109803921568627,0.16078431372549,0.117647058823529,0.125490196078431,0.180392156862745,0.196078431372549,0.117647058823529,0.12156862745098,0.141176470588235,0.133333333333333,0.113725490196078,0.117647058823529,0.129411764705882,0.164705882352941,0.176470588235294,0.12156862745098,0.12156862745098,0.16078431372549,0.188235294117647,0.0941176470588235,0.117647058823529,0.149019607843137,0.117647058823529,0.129411764705882,0.137254901960784,0.0980392156862745,0.0980392156862745,0.101960784313725,0.0666666666666667,0.0745098039215686,0.0980392156862745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L4_RED,0.125490196078431,0.0705882352941176,0.16078431372549,0.141176470588235,0.141176470588235,0.149019607843137,0.152941176470588,0.235294117647059,0.168627450980392,0.196078431372549,0.184313725490196,0.364705882352941,0.341176470588235,0.466666666666667,0.549019607843137,0.556862745098039,0.572549019607843,0.525490196078431,0.541176470588235,0.419607843137255,0.466666666666667,0.345098039215686,0.180392156862745,0.184313725490196,0.227450980392157,0.188235294117647,0.223529411764706,0.207843137254902,0.172549019607843,0.27843137254902,0.254901960784314,0.211764705882353,0.231372549019608,0.219607843137255,0.219607843137255,0.2,0.301960784313725,0.325490196078431,0.192156862745098,0.247058823529412,0.262745098039216,0.333333333333333,0.4,0.317647058823529,0.403921568627451,0.431372549019608,0.427450980392157,0.368627450980392,0.356862745098039,0.192156862745098,0.215686274509804,0.149019607843137,0.2,0.176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3_FLI,0,3,1,2,1,6,1,12,10,17,7,27,13,6,6,5,4,2,3,3,1,8,3,3,2,1,5,8,3,7,6,5,5,8,4,4,4,3,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3_GRN,0.0588235294117647,0.0745098039215686,0.105882352941176,0.0470588235294118,0.12156862745098,0.0901960784313725,0.0784313725490196,0.0941176470588235,0.0588235294117647,0.0274509803921569,0.0549019607843137,0.0666666666666667,0.0705882352941176,0.113725490196078,0.0823529411764706,0.0588235294117647,0.0549019607843137,0.0627450980392157,0.0941176470588235,0.0745098039215686,0.0784313725490196,0.105882352941176,0.109803921568627,0.109803921568627,0.117647058823529,0.109803921568627,0.0627450980392157,0.0823529411764706,0.117647058823529,0.12156862745098,0.117647058823529,0.129411764705882,0.129411764705882,0.0941176470588235,0.0901960784313725,0.105882352941176,0.105882352941176,0.109803921568627,0.0862745098039216,0.0705882352941176,0.125490196078431,0.0549019607843137,0.0745098039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3_RED,0.149019607843137,0.0941176470588235,0.125490196078431,0.105882352941176,0.16078431372549,0.0980392156862745,0.125490196078431,0.141176470588235,0.145098039215686,0.207843137254902,0.219607843137255,0.184313725490196,0.247058823529412,0.23921568627451,0.32156862745098,0.286274509803922,0.188235294117647,0.207843137254902,0.168627450980392,0.12156862745098,0.184313725490196,0.211764705882353,0.203921568627451,0.203921568627451,0.235294117647059,0.235294117647059,0.266666666666667,0.196078431372549,0.262745098039216,0.250980392156863,0.266666666666667,0.203921568627451,0.298039215686275,0.258823529411765,0.196078431372549,0.254901960784314,0.254901960784314,0.215686274509804,0.164705882352941,0.184313725490196,0.125490196078431,0.176470588235294,0.137254901960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2_FLI,1,2,0,6,4,7,14,15,22,20,25,30,25,21,19,11,6,1,4,4,2,4,3,4,2,5,5,1,7,1,4,2,4,3,4,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2_GRN,0.101960784313725,0.0784313725490196,0.0862745098039216,0.0705882352941176,0.105882352941176,0.105882352941176,0.0705882352941176,0.105882352941176,0.196078431372549,0.137254901960784,0.12156862745098,0.0941176470588235,0.0823529411764706,0.137254901960784,0.0745098039215686,0.0666666666666667,0.0980392156862745,0.0941176470588235,0.0941176470588235,0.0549019607843137,0.141176470588235,0.164705882352941,0.0980392156862745,0.0901960784313725,0.0941176470588235,0.117647058823529,0.0823529411764706,0.129411764705882,0.0745098039215686,0.0588235294117647,0.0705882352941176,0.0549019607843137,0.0470588235294118,0.0705882352941176,0.0823529411764706,0.0980392156862745,0.0549019607843137,0.0431372549019608,0.0588235294117647,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2_RED,0.109803921568627,0.215686274509804,0.156862745098039,0.32156862745098,0.76078431372549,0.996078431372549,1,1,1,0.988235294117647,0.627450980392157,0.243137254901961,0.164705882352941,0.258823529411765,0.203921568627451,0.2,0.192156862745098,0.176470588235294,0.176470588235294,0.184313725490196,0.231372549019608,0.337254901960784,0.180392156862745,0.211764705882353,0.188235294117647,0.184313725490196,0.2,0.152941176470588,0.180392156862745,0.172549019607843,0.133333333333333,0.152941176470588,0.164705882352941,0.113725490196078,0.129411764705882,0.0862745098039216,0.141176470588235,0.172549019607843,0.141176470588235,0.12156862745098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1_FLI,4,2,5,9,6,11,9,17,23,20,14,25,21,18,18,20,23,9,14,7,5,4,1,2,1,4,4,2,4,2,2,3,9,9,5,8,3,1,5,7,2,3,1,5,3,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1_GRN,0.129411764705882,0.0941176470588235,0.105882352941176,0.105882352941176,0.149019607843137,0.176470588235294,0.23921568627451,0.16078431372549,0.203921568627451,0.211764705882353,0.176470588235294,0.219607843137255,0.196078431372549,0.227450980392157,0.227450980392157,0.172549019607843,0.184313725490196,0.152941176470588,0.141176470588235,0.129411764705882,0.109803921568627,0.0862745098039216,0.0862745098039216,0.109803921568627,0.0705882352941176,0.125490196078431,0.125490196078431,0.0745098039215686,0.105882352941176,0.113725490196078,0.117647058823529,0.0980392156862745,0.0509803921568627,0.0509803921568627,0.0941176470588235,0.113725490196078,0.0745098039215686,0.141176470588235,0.0941176470588235,0.0901960784313725,0.0941176470588235,0.129411764705882,0.0666666666666667,0.0509803921568627,0.0862745098039216,0.0862745098039216,0.0509803921568627,0.0666666666666667,0.109803921568627,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1_RED,0.329411764705882,0.309803921568627,0.333333333333333,0.423529411764706,0.627450980392157,0.6,0.741176470588235,0.72156862745098,0.83921568627451,0.835294117647059,0.76078431372549,0.498039215686275,0.392156862745098,0.384313725490196,0.384313725490196,0.23921568627451,0.235294117647059,0.180392156862745,0.298039215686275,0.243137254901961,0.168627450980392,0.184313725490196,0.258823529411765,0.207843137254902,0.219607843137255,0.145098039215686,0.145098039215686,0.266666666666667,0.164705882352941,0.133333333333333,0.16078431372549,0.2,0.298039215686275,0.298039215686275,0.215686274509804,0.180392156862745,0.309803921568627,0.207843137254902,0.192156862745098,0.164705882352941,0.262745098039216,0.341176470588235,0.258823529411765,0.266666666666667,0.188235294117647,0.203921568627451,0.270588235294118,0.180392156862745,0.180392156862745,0.172549019607843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
